Tasks,Description,Objects,Subtask
Adjust Bottle,Pick up the bottle on the table headup with the correct arm.,001_bottle,
Beat Block Hammer,"There is a hammer and a block on the table, use the arm to grab the hammer and beat the block.","020_hammer, block",
Blocks Ranking RGB,"Place the red block, green block, and blue block in the order of red, green, and blue from left to right, placing in a row.",block,
Blocks Ranking Size,"There are three blocks on the table, the color of the blocks is random, move the blocks to the center of the table, and arrange them from largest to smallest, from left to right.",block,
Click Alarmclock,Click the alarm clock's center of the top side button on the table.,046_alarm-clock,
Click Bell,Click the bell's top center on the table.,050_bell,
Dump Bin Bigbin,Grab the small bin and pour the balls into the big bin.,"011_dustbin, 063_tabletrashbin",
Grab Roller,Use both arms to grab the roller on the table.,102_roller,
Handover Block,"Use the left arm to grasp the red block on the table, handover it to the right arm and place it on the blue pad.",block,
Handover Mic,Use one arm to grasp the microphone on the table and handover it to the other arm.,018_microphone,
Hanging Mug,"Use left arm to pick the mug on the table, rotate the mug and put the mug down in the middle of the table, use the right arm to pick the mug and hang it onto the rack.","039_mug, 040_rack",
Lift Pot,Use arms to lift the pot.,060_kitchenpot,
Move Can Pot,"There is a can and a pot on the table, use one arm to pick up the can and move it to beside the pot.","060_kitchenpot, 105_sauce-can",
Move Playingcard Away,"Use the arm to pick up the playing card and move it away from the table. For example, if the playing card is on the outward side of the table, you should move it further outward side of the table.",081_playcards,
Move Stapler Pad,Use appropriate arm to move the stapler to a colored mat.,048_stapler,
Open Laptop,Use one arm to open the laptop.,015_laptop,
Open Microwave,Use one arm to open the microwave.,044_microwave,
Pick Diverse Bottles,"Pick up one bottle with one arm, and pick up another bottle with the other arm.",001_bottle,
Pick Dual Bottles,"Pick up one bottle with one arm, and pick up another bottle with the other arm.",001_bottle,
Place A2B Left,Use appropriate arm to place object A on the left of object B.,"047_mouse, 048_stapler, 050_bell, 057_toycar, 073_rubikscube, 075_bread, 077_phone, 081_playingcards, 086_woodenblock, 107_soap, 112_tea-box, 113_coffee-box",
Place A2B Right,Use appropriate arm to place object A on the right of object B.,"047_mouse, 048_stapler, 050_bell, 057_toycar, 073_rubikscube, 075_bread, 077_phone, 081_playingcards, 086_woodenblock, 107_soap, 112_tea-box, 113_coffee-box",
Place Bread Basket,"If there is one bread on the table, use one arm to grab the bread and put it in the basket, if there are two breads on the table, use two arms to simultaneously grab up two breads and put them in the basket.","075_bread, 076_breadbasket",
Place Bread Skillet,"If there is one bread on the table, use one arm to grab the bread and put it into the skillet.","075_bread, 106_skillet",
Place Burger Fries,Use dual arm to pick the hamburg and frenchfries and put them onto the tray.,"005_french-fries, 006_hamburg, 008_tray",
Place Can Basket,"Use one arm to pick up the can, put it into the basket, and use another arm to lift the basket","071_can, 110_basket",
Place Cans Plasticbox,Use dual arm to pick and place cans into plasticbox.,"062_plasticbox, 071_can",
Place Container Plate,Place the container onto the plate.,"002_bowl, 003_plate, 021_cup",
Place Dual Shoes,"Use both arms to pick up the two shoes on the table and put them in the shoebox, with the shoe tip pointing to the left.","007_shoe-box, 041_shoe",
Place Empty Cup,Use an arm to place the empty cup on the coaster.,"019_coaster, 021_cup",
Place Fan,"Grab the fan and place it on a colored mat, and make sure the fan is facing the robot.","099_fan, block",
Place Mouse Pad,Grab the mouse and place it on a colored mat.,"047_mouse, block",
Place Object Basket,"Use one arm to grab the target object and put it in the basket, then use the other arm to grab the basket, and finally move the basket slightly away.","057_toycar, 081_playingcards, 110_basket",
Place Object Scale,Use one arm to grab the object and put it on the scale.,"047_mouse, 048_stapler, 050_bell, 072_electronicscale",
Place Object Stand,Use appropriate arm to place the object on the stand.,"047_mouse, 048_stapler, 050_bell, 057_toycar, 073_rubikscube, 074_displaystand, 079_remotecontrol",
Place Phone Stand,Pick up the phone and put it on the phone stand.,"077_phone, 078_phonestand",
Place Shoe,Use one arm to grab the shoe from the table and place it on the mat.,"041_shoe, block",
Press Stapler,Use one arm to press the stapler.,048_stapler,
Put Bottles Dustbin,Use arms to grab the bottles and put them into the dustbin to the left of the table.,"011_dustbin, 114_bottle",
Put Object Cabinet,"Use one arm to open the cabinet's drawer, and use another arm to put the object on the table to the drawer.","036_cabinet, 047_mouse, 048_stapler, 057_toycar, 073_rubikscube, 075_bread, 077_phone, 081_playingcards, 107_soap, 112_tea-box, 113_coffee-box",
Rotate QRcode,"Use arm to catch the qrcode board on the table, pick it up and rotate to let the qrcode face towards the robot.",070_paymentsign,
Scan Object,"Use one arm to pick the scanner and use the other arm to pick the object, and use the scanner to scan the object.","024_scanner, 112_tea-box",
Shake Bottle Horizontally,Shake the bottle horizontally with proper arm.,001_bottle,
Shake Bottle, Shake the bottle with proper arm.,001_bottle,
Stack Blocks Three,"There are three blocks on the table, the color of the blocks is red, green and blue. Move the blocks to the center of the table, and stack the blue block on the green block, and the green block on the red block.",block,
Stack Blocks Two,"There are two blocks on the table, the color of the blocks is red, green. Move the blocks to the center of the table, and stack the geen block on the red block.",block,
Stack Bowls Three,Stack the three bowls on top of each other.,002_bowl,
Stack Bowls Two,Stack the two bowls on top of each other.,002_bowl,
Stamp Seal,Grab the stamp and stamp onto the specific color mat.,"100_seal, block",
Turn Switch,Use the robotic arm to click the switch.,056_switch,
Move Pillbottle Pad,Use one arm to pick the pillbottle and place it onto the pad.,"080_pillbottle, block",
